dbname,table_name,alert_seconds,alert_rowcount,alert_event,alert_solution,alert_sample_query,alert_querycount
prd_statsig,ratio_cuped_staging_machinelearning_ai_chat_bot_cumulative,127.16267400,5684560,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1836932,35
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@94597936@81334900@,125.21651400,1033484,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1683264,2
prd_statsig,tmp_table_pre_exposure_wnuluiodjsq6yzv2omzee_projects_search_hybrid_semantic,120.47995700,2884336,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1861668,21
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@7507106@80823173@,120.16470000,154558164,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1591321,8
prd_statsig,ratio_cuped_staging_content_panel_recommendations_cumulative,120.03153100,5684560,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1849130,35
prd_statsig,tmp_table_wnuluiodjsq6yzv2omzee_projects_search_hybrid_semantic,115.44336300,2884336,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1861796,21
prd_statsig,first_exposures_search_image_complexity_filter,113.20416600,38488,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1873649,8
prd_statsig,tmp_table_pre_exposure_wnuluiodjsq6yzv2omzee_canvas_iq_landing_panel,112.77540700,3346408,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1869829,29
prd_statsig,tmp_table_wnuluiodjsq6yzv2omzee_content_panel_recommendations,98.64913400,2884336,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1847582,21
prd_statsig,unit_day_covariate_metrics_my_stuff_on_home,98.30341200,16360919,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1871464,24
prd_statsig,distinct_metrics_search_destination_page_search,97.10026700,7591726,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1878794,48
prd_statsig,unit_covariate_metrics_single_cta_on_pdp_2doth49tjw0ebzaahpbtdc_50__00_1,95.49306500,66475724,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1834011,8
prd_statsig,windowed_metrics_single_cta_on_pdp_2doth49tjw0ebzaahpbtdc_50__00_1_7,95.49306500,66475724,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1834011,8
prd_statsig,unit_day_metrics_single_cta_on_pdp_2doth49tjw0ebzaahpbtdc_50__00_1,95.49306500,66475724,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1834011,8
,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@56318977@80823173@,94.79951100,490996,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1600603,1
prd_statsig,unit_day_metrics_machinelearning_ai_chat_bot,94.24581700,23247293,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1835966,32
prd_statsig,t_rslocal_localhost@1438927@716097@,93.62376400,154,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1829822,15
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@29496309@80823173@,91.88927500,8819,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1568589,2
prd_statsig,tmp_table_wnuluiodjsq6yzv2omzee_my_stuff_on_home,91.68491700,3656191,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1870611,34
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@56318977@81334900@,90.96935200,2548043,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1743271,2
